input_size,slaves,time_in_second,time_in_minute,time_in_hour,is_dsl
10,0,464,"7,73","0,12",1
10,0,468,"7,8","0,13",1
10,0,462,"7,7","0,12",1
10,0,467,"7,78","0,12",1
10,0,449,"7,48","0,12",1
10,2,344,"5,73","0,09",1
10,2,356,"5,93","0,09",1
10,2,313,"5,21","0,08",1
10,2,320,"5,33","0,08",1
10,2,297,"4,95","0,08",1
25,2,1390,"23,16","0,38",1
25,2,1338,"22,3","0,37",1
25,2,1363,"22,71","0,37",1
25,2,1265,"21,08","0,35",1
25,2,1340,"22,33","0,37",1
50,2,3992,"66,53","1,1",1
50,2,3622,"60,36",1,1
50,2,3719,"61,98","1,03",1
50,2,3718,"61,96","1,03",1
50,2,3507,"58,45","0,97",1
100,2,31171,"519,51","8,65",1
100,2,33148,"552,46","9,2",1
100,2,33208,"553,46","9,22",1
100,2,27385,"456,41","7,6",1
100,2,37619,"626,98","10,44",1
10,3,287,"4,78","0,07",1
10,3,294,"4,9","0,08",1
10,3,296,"4,93","0,08",1
10,3,294,"4,9","0,08",1
10,3,299,"4,98","0,08",1
25,3,932,"15,53","0,25",1
25,3,916,"15,26","0,25",1
25,3,882,"14,7","0,24",1
25,3,844,"14,06","0,23",1
25,3,838,"13,96","0,23",1
50,3,3286,"54,76","0,91",1
50,3,3402,"56,7","0,94",1
50,3,3131,"52,18","0,86",1
50,3,3079,"51,31","0,85",1
50,3,3214,"53,56","0,89",1
100,3,17121,"285,35","4,75",1
100,3,15104,"251,73","4,19",1
100,3,16799,"279,98","4,66",1
100,3,17344,"289,06","4,81",1
10,0,448,"7,46","0,12",0
10,0,465,"7,75","0,12",0
10,0,477,"7,95","0,13",0
10,0,460,"7,66","0,12",0
10,0,478,"7,96","0,13",0
10,0,452,"7,53","0,12",0
10,0,464,"7,73","0,12",0
10,0,484,"8,06","0,13",0
10,0,472,"7,86","0,13",0
10,0,454,"7,56","0,12",0
25,0,1618,"26,96","0,44",0
25,0,1610,"26,83","0,44",0
